Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.02	0.23	0.07	0.25	0.30	0.13	Modra
0.00	0.08	0.25	0.08	0.49	0.01	0.07	0.01	Tirkizna
0.61	0.38	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.24	0.14	0.22	0.15	0.23	0.01	Zelena
0.60	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.26	0.37	0.02	0.13	0.20	Tirkizna
0.37	0.57	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.36	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.07	0.27	0.46	0.01	0.17	0.00	0.02	0.00	Zelena
0.51	0.47	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.09	0.00	0.05	0.07	0.79	Magenta
0.57	0.42	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.22	0.05	0.29	0.30	0.12	Modra
0.00	0.00	0.00	0.10	0.01	0.01	0.05	0.83	Magenta
0.00	0.00	0.00	0.13	0.01	0.48	0.23	0.15	Indigo
0.00	0.02	0.24	0.14	0.39	0.05	0.15	0.02	Tirkizna
0.35	0.60	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.45	0.54	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.04	0.17	0.53	0.02	0.20	0.01	0.03	0.00	Zelena
0.50	0.48	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.12	0.01	0.56	0.25	0.06	Indigo
0.00	0.00	0.00	0.19	0.04	0.03	0.10	0.64	Magenta
0.33	0.67	0.00	0.00	0.00	0.00	0.00	0.00	Žuta
0.63	0.36	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.11	0.01	0.57	0.23	0.08	Indigo
0.47	0.52	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.20	0.03	0.32	0.28	0.17	Indigo
0.00	0.00	0.01	0.13	0.02	0.52	0.27	0.04	Indigo
0.00	0.00	0.01	0.08	0.01	0.66	0.21	0.03	Indigo
0.00	0.00	0.02	0.29	0.20	0.06	0.21	0.22	Plava
0.07	0.25	0.49	0.01	0.15	0.01	0.02	0.00	Zelena
0.42	0.56	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.33	0.55	0.10	0.00	0.02	0.00	0.00	0.00	Žuta
0.58	0.40	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.11	0.01	0.58	0.25	0.05	Indigo
0.03	0.12	0.61	0.02	0.16	0.02	0.04	0.00	Zelena
0.55	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.15	0.01	0.47	0.26	0.11	Indigo
0.00	0.00	0.01	0.17	0.03	0.40	0.29	0.08	Indigo
0.60	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.12	0.00	0.38	0.18	0.31	Indigo
0.00	0.00	0.07	0.26	0.32	0.05	0.21	0.10	Tirkizna
0.00	0.00	0.02	0.26	0.09	0.18	0.28	0.17	Modra
0.00	0.00	0.00	0.17	0.04	0.02	0.08	0.70	Magenta
0.00	0.00	0.02	0.29	0.13	0.09	0.24	0.23	Plava
0.15	0.62	0.14	0.00	0.08	0.00	0.00	0.00	Žuta
0.49	0.50	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.07	0.26	0.26	0.08	0.24	0.09	Plava
0.00	0.00	0.02	0.27	0.29	0.02	0.13	0.27	Tirkizna
0.06	0.27	0.42	0.02	0.21	0.00	0.02	0.00	Zelena
0.00	0.00	0.00	0.17	0.02	0.07	0.13	0.61	Magenta
0.00	0.00	0.02	0.27	0.09	0.17	0.28	0.17	Modra
0.40	0.58	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.27	0.10	0.16	0.28	0.17	Modra
0.37	0.56	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.08	0.01	0.67	0.21	0.03	Indigo
0.00	0.00	0.05	0.27	0.22	0.09	0.25	0.11	Plava
0.34	0.65	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.08	0.25	0.26	0.09	0.25	0.07	Tirkizna
0.00	0.00	0.00	0.12	0.00	0.18	0.13	0.56	Magenta
0.00	0.04	0.25	0.11	0.46	0.02	0.10	0.01	Tirkizna
0.00	0.00	0.09	0.24	0.24	0.11	0.26	0.06	Modra
0.00	0.00	0.04	0.23	0.46	0.01	0.11	0.15	Tirkizna
0.55	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.07	0.00	0.28	0.10	0.54	Magenta
0.00	0.00	0.00	0.17	0.02	0.07	0.13	0.61	Magenta
0.00	0.05	0.20	0.11	0.53	0.01	0.08	0.01	Tirkizna
0.00	0.03	0.23	0.12	0.47	0.02	0.11	0.01	Tirkizna
0.65	0.35	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.07	0.12	0.10	0.63	0.00	0.05	0.02	Tirkizna
0.00	0.00	0.03	0.29	0.18	0.08	0.23	0.19	Plava
0.00	0.00	0.01	0.08	0.01	0.67	0.21	0.03	Indigo
0.00	0.00	0.00	0.11	0.00	0.46	0.19	0.23	Indigo
0.71	0.29	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.63	0.37	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.37	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.11	0.51	0.24	0.00	0.13	0.00	0.01	0.00	Žuta
0.00	0.00	0.01	0.23	0.05	0.26	0.30	0.14	Modra
0.00	0.00	0.01	0.18	0.03	0.39	0.29	0.09	Indigo
0.06	0.27	0.43	0.01	0.21	0.00	0.02	0.00	Zelena
0.00	0.00	0.02	0.29	0.14	0.11	0.26	0.18	Plava
0.00	0.00	0.00	0.05	0.00	0.02	0.03	0.90	Magenta
0.03	0.18	0.49	0.02	0.23	0.01	0.03	0.00	Zelena
0.00	0.00	0.02	0.21	0.06	0.32	0.31	0.08	Indigo
0.00	0.04	0.24	0.12	0.45	0.02	0.11	0.01	Tirkizna
0.00	0.00	0.00	0.08	0.02	0.00	0.02	0.87	Magenta
0.00	0.02	0.19	0.15	0.47	0.03	0.13	0.02	Tirkizna
0.17	0.67	0.10	0.00	0.06	0.00	0.00	0.00	Žuta
0.10	0.22	0.56	0.01	0.09	0.01	0.01	0.00	Zelena
0.35	0.58	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.12	0.01	0.07	0.10	0.71	Magenta
0.63	0.35	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.12	0.02	0.54	0.26	0.05	Indigo
0.00	0.00	0.00	0.18	0.02	0.08	0.14	0.58	Magenta
0.38	0.55	0.07	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.07	0.15	0.10	0.59	0.01	0.06	0.02	Tirkizna
0.00	0.00	0.19	0.16	0.19	0.18	0.26	0.02	Modra
0.59	0.40	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.04	0.28	0.21	0.08	0.24	0.14	Plava
0.00	0.00	0.00	0.09	0.01	0.63	0.21	0.06	Indigo
0.00	0.00	0.01	0.09	0.01	0.63	0.23	0.02	Indigo
0.00	0.00	0.01	0.17	0.03	0.42	0.29	0.08	Indigo
0.00	0.00	0.05	0.26	0.18	0.13	0.28	0.09	Modra
0.00	0.00	0.00	0.15	0.01	0.04	0.09	0.71	Magenta
0.35	0.59	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.37	0.57	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.09	0.31	0.43	0.01	0.14	0.00	0.01	0.00	Zelena
0.00	0.00	0.05	0.27	0.27	0.06	0.22	0.12	Plava
0.39	0.58	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.49	0.49	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.23	0.04	0.19	0.25	0.29	Magenta
0.00	0.00	0.02	0.11	0.02	0.55	0.26	0.03	Indigo
0.00	0.00	0.01	0.10	0.01	0.61	0.23	0.04	Indigo
0.00	0.01	0.15	0.19	0.36	0.06	0.19	0.04	Tirkizna
0.00	0.00	0.03	0.21	0.07	0.29	0.31	0.09	Modra
0.00	0.00	0.01	0.21	0.04	0.32	0.29	0.13	Indigo
0.51	0.47	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.13	0.21	0.30	0.09	0.23	0.04	Tirkizna
0.00	0.00	0.02	0.29	0.15	0.08	0.24	0.22	Plava
0.00	0.00	0.00	0.10	0.01	0.61	0.22	0.06	Indigo
0.37	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.19	0.04	0.36	0.30	0.08	Indigo
0.60	0.38	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.39	0.58	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.49	0.48	0.03	0.00	0.00	0.00	0.00	0.00	Narančasta
0.38	0.57	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.22	0.05	0.29	0.30	0.14	Modra
0.01	0.21	0.15	0.05	0.55	0.00	0.02	0.01	Tirkizna
0.10	0.29	0.46	0.01	0.12	0.00	0.01	0.00	Zelena
0.00	0.00	0.01	0.13	0.02	0.52	0.27	0.06	Indigo
0.00	0.00	0.01	0.16	0.02	0.44	0.27	0.11	Indigo
0.00	0.00	0.12	0.22	0.33	0.07	0.21	0.05	Tirkizna
0.04	0.11	0.63	0.02	0.15	0.02	0.04	0.00	Zelena
0.60	0.40	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.33	0.60	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.29	0.20	0.04	0.18	0.27	Plava
0.05	0.27	0.41	0.02	0.23	0.00	0.02	0.00	Zelena
0.00	0.00	0.03	0.28	0.15	0.12	0.27	0.15	Plava
0.00	0.00	0.00	0.08	0.00	0.68	0.19	0.05	Indigo
0.00	0.00	0.00	0.18	0.02	0.04	0.11	0.65	Magenta
0.00	0.00	0.02	0.25	0.08	0.21	0.29	0.16	Modra
0.00	0.00	0.02	0.26	0.08	0.17	0.28	0.18	Modra
0.39	0.58	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.23	0.04	0.24	0.27	0.21	Modra
0.62	0.35	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.07	0.00	0.01	0.03	0.89	Magenta
0.00	0.00	0.02	0.21	0.05	0.30	0.30	0.12	Modra
0.00	0.01	0.18	0.17	0.40	0.05	0.17	0.03	Tirkizna
0.00	0.00	0.01	0.13	0.01	0.52	0.25	0.08	Indigo
0.52	0.45	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.04	0.00	0.00	0.01	0.95	Magenta
0.00	0.00	0.00	0.07	0.00	0.69	0.19	0.04	Indigo
0.40	0.58	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.03	0.21	0.14	0.45	0.03	0.13	0.02	Tirkizna
0.04	0.13	0.61	0.02	0.16	0.02	0.04	0.00	Zelena
0.00	0.00	0.02	0.28	0.11	0.13	0.26	0.21	Plava
0.00	0.00	0.00	0.11	0.01	0.54	0.21	0.14	Indigo
0.00	0.00	0.02	0.29	0.14	0.11	0.26	0.18	Plava
0.10	0.53	0.21	0.01	0.14	0.00	0.00	0.00	Žuta
0.41	0.54	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.26	0.09	0.18	0.29	0.15	Modra
0.63	0.35	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.05	0.26	0.42	0.02	0.23	0.00	0.02	0.00	Zelena
0.00	0.00	0.00	0.18	0.02	0.07	0.13	0.60	Magenta
0.41	0.58	0.00	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.12	0.00	0.07	0.09	0.72	Magenta
0.61	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.03	0.19	0.43	0.03	0.28	0.01	0.03	0.00	Zelena
0.02	0.19	0.27	0.04	0.44	0.00	0.03	0.00	Tirkizna
0.00	0.02	0.32	0.11	0.33	0.05	0.14	0.01	Tirkizna
0.10	0.35	0.39	0.01	0.13	0.00	0.01	0.00	Zelena
0.36	0.62	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.15	0.01	0.45	0.25	0.12	Indigo
0.36	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.12	0.01	0.54	0.23	0.10	Indigo
0.00	0.00	0.06	0.26	0.22	0.10	0.26	0.10	Plava
0.00	0.03	0.20	0.14	0.47	0.03	0.12	0.02	Tirkizna
0.05	0.24	0.47	0.02	0.20	0.01	0.02	0.00	Zelena
0.35	0.59	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.52	0.47	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.03	0.09	0.65	0.02	0.14	0.02	0.04	0.00	Zelena
0.38	0.55	0.07	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.28	0.12	0.13	0.27	0.18	Plava
0.00	0.00	0.02	0.16	0.03	0.45	0.29	0.06	Indigo
0.00	0.00	0.04	0.28	0.22	0.08	0.24	0.14	Plava
0.13	0.48	0.27	0.00	0.12	0.00	0.01	0.00	Žuta
0.10	0.39	0.35	0.01	0.14	0.00	0.01	0.00	Žuta
0.06	0.28	0.41	0.02	0.21	0.00	0.02	0.00	Zelena
0.00	0.11	0.17	0.07	0.58	0.00	0.04	0.01	Tirkizna
0.39	0.56	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.08	0.25	0.33	0.06	0.21	0.08	Tirkizna
0.00	0.00	0.02	0.19	0.04	0.37	0.30	0.08	Indigo
0.00	0.00	0.00	0.06	0.00	0.41	0.10	0.43	Magenta
0.00	0.00	0.01	0.20	0.04	0.34	0.30	0.11	Indigo
0.00	0.00	0.02	0.20	0.05	0.33	0.30	0.10	Indigo
0.00	0.00	0.09	0.14	0.07	0.39	0.29	0.02	Indigo
0.12	0.55	0.20	0.00	0.12	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.20	0.04	0.34	0.30	0.11	Indigo
0.37	0.57	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.09	0.01	0.64	0.22	0.04	Indigo
0.00	0.00	0.03	0.28	0.25	0.04	0.18	0.22	Plava
0.00	0.00	0.03	0.29	0.20	0.07	0.23	0.19	Plava
0.38	0.55	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.49	0.51	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.09	0.00	0.05	0.07	0.79	Magenta
0.00	0.00	0.01	0.13	0.02	0.51	0.27	0.06	Indigo
0.40	0.58	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.57	0.41	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.07	0.30	0.42	0.01	0.18	0.00	0.01	0.00	Zelena
0.35	0.58	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.13	0.36	0.40	0.01	0.10	0.00	0.01	0.00	Zelena
0.00	0.11	0.15	0.07	0.61	0.00	0.04	0.01	Tirkizna
0.00	0.02	0.31	0.12	0.33	0.06	0.15	0.01	Tirkizna
0.00	0.00	0.04	0.28	0.18	0.11	0.27	0.13	Plava
0.00	0.02	0.29	0.12	0.36	0.05	0.14	0.01	Tirkizna
0.37	0.62	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.66	0.33	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.09	0.01	0.63	0.23	0.04	Indigo
0.62	0.36	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.02	0.20	0.16	0.42	0.04	0.15	0.02	Tirkizna
0.59	0.39	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.73	0.23	0.04	0.00	0.00	0.00	0.00	0.00	Narančasta
0.55	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.29	0.17	0.09	0.24	0.19	Plava
0.04	0.22	0.46	0.02	0.23	0.01	0.03	0.00	Zelena
