Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.03	0.46	0.03	0.16	0.22	0.10	Plava
0.00	0.15	0.15	0.00	0.59	0.03	0.05	0.02	Tirkizna
0.65	0.33	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.21	0.01	0.41	0.16	0.16	0.05	Tirkizna
0.86	0.13	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.10	0.13	0.15	0.07	0.41	0.14	Modra
0.01	0.90	0.09	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.89	0.10	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.35	0.52	0.00	0.11	0.01	0.00	0.01	Zelena
0.85	0.14	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.00	0.00	0.03	0.01	0.93	Magenta
0.89	0.10	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.41	0.03	0.20	0.24	0.10	Plava
0.00	0.00	0.05	0.00	0.00	0.01	0.01	0.93	Magenta
0.00	0.00	0.02	0.01	0.00	0.54	0.29	0.15	Indigo
0.00	0.03	0.17	0.00	0.57	0.08	0.11	0.04	Tirkizna
0.00	0.93	0.07	0.00	0.00	0.00	0.00	0.00	Žuta
0.51	0.47	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.17	0.62	0.00	0.18	0.02	0.00	0.01	Zelena
0.80	0.19	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.06	0.01	0.48	0.39	0.05	Indigo
0.00	0.00	0.08	0.02	0.00	0.05	0.09	0.75	Magenta
0.00	0.89	0.11	0.00	0.00	0.00	0.00	0.00	Žuta
0.76	0.22	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.02	0.00	0.54	0.36	0.07	Indigo
0.63	0.36	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.21	0.01	0.29	0.29	0.17	Indigo
0.00	0.00	0.02	0.13	0.02	0.40	0.38	0.05	Indigo
0.00	0.00	0.01	0.02	0.00	0.53	0.41	0.03	Indigo
0.00	0.00	0.06	0.45	0.07	0.07	0.22	0.14	Plava
0.00	0.25	0.65	0.00	0.09	0.01	0.00	0.01	Zelena
0.17	0.79	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.82	0.18	0.00	0.00	0.00	0.00	0.00	Žuta
0.90	0.09	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.06	0.01	0.48	0.40	0.04	Indigo
0.00	0.05	0.80	0.00	0.12	0.02	0.00	0.01	Zelena
0.90	0.09	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.05	0.01	0.46	0.35	0.11	Indigo
0.00	0.00	0.03	0.24	0.02	0.31	0.32	0.08	Modra
0.88	0.11	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.00	0.00	0.48	0.13	0.37	Indigo
0.00	0.01	0.09	0.19	0.26	0.09	0.26	0.10	Tirkizna
0.00	0.00	0.04	0.51	0.03	0.12	0.19	0.11	Plava
0.00	0.00	0.09	0.01	0.00	0.03	0.08	0.79	Magenta
0.00	0.00	0.05	0.52	0.04	0.08	0.18	0.14	Plava
0.00	0.87	0.11	0.00	0.02	0.00	0.00	0.00	Žuta
0.78	0.21	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.08	0.27	0.21	0.10	0.23	0.09	Plava
0.00	0.00	0.10	0.19	0.09	0.06	0.38	0.18	Modra
