Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.02	0.24	0.07	0.25	0.30	0.12	Modra
0.00	0.08	0.23	0.09	0.49	0.02	0.08	0.01	Tirkizna
0.61	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.25	0.13	0.21	0.16	0.22	0.01	Zelena
0.61	0.38	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.26	0.31	0.02	0.13	0.26	Tirkizna
0.36	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.36	0.56	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.08	0.29	0.45	0.01	0.15	0.01	0.02	0.00	Zelena
0.52	0.46	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.09	0.00	0.04	0.06	0.81	Magenta
0.57	0.42	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.22	0.06	0.29	0.30	0.11	Modra
0.00	0.00	0.00	0.08	0.01	0.01	0.04	0.86	Magenta
0.00	0.00	0.00	0.14	0.01	0.47	0.24	0.14	Indigo
0.00	0.02	0.23	0.14	0.37	0.06	0.16	0.02	Tirkizna
0.34	0.60	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.44	0.55	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.05	0.19	0.52	0.02	0.18	0.01	0.03	0.00	Zelena
0.50	0.48	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.12	0.02	0.55	0.26	0.05	Indigo
0.00	0.00	0.00	0.17	0.03	0.02	0.09	0.69	Magenta
0.28	0.71	0.00	0.00	0.00	0.00	0.00	0.00	Žuta
0.64	0.35	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.12	0.01	0.56	0.24	0.06	Indigo
0.45	0.53	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.21	0.04	0.31	0.28	0.15	Indigo
0.00	0.00	0.02	0.13	0.03	0.51	0.27	0.03	Indigo
0.00	0.00	0.01	0.08	0.01	0.65	0.22	0.02	Indigo
0.00	0.00	0.02	0.29	0.18	0.06	0.20	0.24	Plava
0.09	0.27	0.48	0.01	0.13	0.01	0.02	0.00	Zelena
0.41	0.56	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.34	0.54	0.11	0.00	0.02	0.00	0.00	0.00	Žuta
0.59	0.40	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.11	0.02	0.57	0.25	0.04	Indigo
0.05	0.15	0.59	0.02	0.14	0.02	0.03	0.00	Zelena
0.55	0.43	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.15	0.02	0.46	0.27	0.10	Indigo
0.00	0.00	0.02	0.18	0.04	0.40	0.30	0.07	Indigo
0.60	0.38	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.13	0.01	0.37	0.19	0.30	Indigo
0.00	0.00	0.06	0.26	0.30	0.06	0.21	0.11	Tirkizna
0.00	0.00	0.02	0.26	0.09	0.17	0.28	0.17	Modra
0.00	0.00	0.00	0.14	0.03	0.01	0.06	0.75	Magenta
0.00	0.00	0.02	0.29	0.13	0.09	0.24	0.24	Plava
0.14	0.61	0.16	0.00	0.09	0.00	0.00	0.00	Žuta
0.48	0.50	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.06	0.26	0.25	0.09	0.25	0.09	Plava
0.00	0.00	0.01	0.27	0.24	0.02	0.13	0.34	Magenta
0.06	0.28	0.42	0.02	0.20	0.01	0.02	0.00	Zelena
0.00	0.00	0.00	0.17	0.02	0.06	0.12	0.64	Magenta
0.00	0.00	0.02	0.27	0.10	0.17	0.28	0.17	Modra
0.38	0.59	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.27	0.11	0.16	0.28	0.17	Modra
0.37	0.55	0.07	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.08	0.01	0.66	0.22	0.02	Indigo
0.00	0.00	0.05	0.27	0.22	0.10	0.25	0.12	Plava
0.31	0.67	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.08	0.25	0.25	0.10	0.25	0.07	Tirkizna
0.00	0.00	0.00	0.13	0.00	0.16	0.13	0.57	Magenta
0.00	0.04	0.23	0.12	0.44	0.03	0.12	0.01	Tirkizna
0.00	0.00	0.09	0.24	0.24	0.12	0.26	0.06	Modra
0.00	0.00	0.03	0.25	0.39	0.01	0.12	0.20	Tirkizna
0.55	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.08	0.00	0.26	0.11	0.55	Magenta
0.00	0.00	0.00	0.17	0.02	0.06	0.12	0.63	Magenta
0.00	0.05	0.17	0.13	0.52	0.02	0.10	0.02	Tirkizna
0.00	0.03	0.21	0.13	0.45	0.03	0.13	0.02	Tirkizna
0.65	0.34	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.05	0.09	0.13	0.62	0.01	0.07	0.03	Tirkizna
0.00	0.00	0.02	0.29	0.17	0.08	0.23	0.20	Plava
0.00	0.00	0.01	0.08	0.01	0.66	0.22	0.02	Indigo
0.00	0.00	0.00	0.13	0.01	0.45	0.20	0.21	Indigo
0.72	0.27	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.63	0.36	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.36	0.58	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.11	0.49	0.25	0.01	0.14	0.00	0.01	0.00	Žuta
0.00	0.00	0.02	0.23	0.06	0.26	0.30	0.13	Modra
0.00	0.00	0.02	0.18	0.04	0.39	0.30	0.07	Indigo
0.06	0.28	0.42	0.02	0.19	0.01	0.02	0.00	Zelena
0.00	0.00	0.02	0.28	0.14	0.11	0.25	0.19	Plava
0.00	0.00	0.00	0.05	0.00	0.01	0.02	0.91	Magenta
0.04	0.20	0.48	0.02	0.22	0.01	0.03	0.00	Zelena
0.00	0.00	0.03	0.20	0.07	0.32	0.31	0.07	Indigo
0.00	0.04	0.22	0.13	0.44	0.03	0.12	0.01	Tirkizna
0.00	0.00	0.00	0.06	0.01	0.00	0.02	0.91	Magenta
0.00	0.02	0.17	0.16	0.45	0.03	0.14	0.03	Tirkizna
0.15	0.65	0.12	0.00	0.07	0.00	0.00	0.00	Žuta
0.13	0.25	0.52	0.01	0.08	0.01	0.01	0.00	Zelena
0.34	0.58	0.07	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.12	0.01	0.06	0.09	0.73	Magenta
0.65	0.34	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.12	0.02	0.53	0.26	0.04	Indigo
0.00	0.00	0.00	0.18	0.02	0.07	0.13	0.60	Magenta
0.38	0.54	0.07	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.05	0.13	0.13	0.58	0.01	0.08	0.03	Tirkizna
0.00	0.00	0.20	0.15	0.19	0.19	0.25	0.01	Modra
0.59	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.04	0.28	0.21	0.08	0.24	0.15	Plava
0.00	0.00	0.00	0.10	0.01	0.62	0.22	0.05	Indigo
0.00	0.00	0.02	0.09	0.02	0.62	0.24	0.02	Indigo
0.00	0.00	0.02	0.17	0.04	0.42	0.29	0.07	Indigo
0.00	0.00	0.05	0.26	0.19	0.14	0.28	0.09	Modra
