Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.00	0.12	0.01	0.52	0.23	0.13	Indigo
0.00	0.01	0.20	0.17	0.29	0.10	0.22	0.02	Tirkizna
0.00	0.03	0.15	0.14	0.54	0.01	0.10	0.03	Tirkizna
0.00	0.01	0.04	0.19	0.56	0.01	0.08	0.12	Tirkizna
0.00	0.00	0.02	0.28	0.11	0.13	0.26	0.20	Plava
0.51	0.47	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.02	0.30	0.12	0.33	0.06	0.16	0.01	Tirkizna
0.00	0.02	0.22	0.14	0.43	0.03	0.14	0.02	Tirkizna
0.00	0.00	0.02	0.28	0.11	0.11	0.25	0.22	Plava
0.00	0.00	0.01	0.09	0.01	0.63	0.22	0.04	Indigo
0.00	0.00	0.01	0.15	0.02	0.48	0.27	0.07	Indigo
0.46	0.47	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.26	0.08	0.20	0.29	0.16	Modra
0.00	0.00	0.00	0.16	0.01	0.36	0.23	0.24	Indigo
0.00	0.00	0.03	0.29	0.25	0.04	0.19	0.19	Plava
0.00	0.00	0.00	0.17	0.01	0.11	0.15	0.56	Magenta
0.00	0.00	0.01	0.14	0.02	0.50	0.27	0.05	Indigo
0.00	0.00	0.00	0.07	0.00	0.02	0.04	0.86	Magenta
0.02	0.07	0.66	0.02	0.14	0.03	0.05	0.00	Zelena
0.35	0.62	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.35	0.57	0.06	0.00	0.01	0.00	0.00	0.00	Žuta
0.03	0.12	0.58	0.02	0.18	0.02	0.04	0.00	Zelena
0.00	0.00	0.01	0.13	0.02	0.52	0.27	0.05	Indigo
0.38	0.41	0.19	0.00	0.02	0.00	0.00	0.00	Žuta
0.37	0.58	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.08	0.00	0.29	0.11	0.51	Magenta
0.00	0.00	0.02	0.29	0.14	0.10	0.25	0.20	Plava
0.00	0.00	0.01	0.19	0.03	0.34	0.28	0.14	Indigo
0.60	0.37	0.03	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.05	0.27	0.29	0.05	0.21	0.13	Tirkizna
0.00	0.00	0.16	0.19	0.29	0.09	0.23	0.03	Tirkizna
0.00	0.00	0.08	0.12	0.06	0.45	0.28	0.01	Indigo
0.00	0.00	0.01	0.24	0.06	0.22	0.29	0.16	Modra
0.07	0.30	0.43	0.01	0.17	0.00	0.01	0.00	Zelena
0.00	0.00	0.01	0.16	0.02	0.43	0.28	0.09	Indigo
0.00	0.00	0.04	0.25	0.13	0.18	0.30	0.10	Modra
0.33	0.65	0.02	0.00	0.01	0.00	0.00	0.00	Žuta
0.36	0.58	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.33	0.66	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.54	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.23	0.06	0.26	0.30	0.14	Modra
0.00	0.00	0.08	0.25	0.27	0.08	0.24	0.08	Tirkizna
0.00	0.00	0.01	0.28	0.17	0.03	0.15	0.36	Magenta
0.36	0.59	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.17	0.03	0.42	0.29	0.08	Indigo
0.00	0.00	0.01	0.18	0.04	0.38	0.30	0.09	Indigo
0.00	0.06	0.18	0.10	0.56	0.01	0.07	0.01	Tirkizna
0.00	0.00	0.03	0.29	0.20	0.06	0.21	0.20	Plava
0.00	0.00	0.00	0.07	0.00	0.36	0.11	0.46	Magenta
0.00	0.00	0.01	0.10	0.01	0.61	0.23	0.04	Indigo
0.00	0.02	0.11	0.18	0.52	0.02	0.12	0.05	Tirkizna
0.34	0.60	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.47	0.53	0.00	0.00	0.00	0.00	0.00	0.00	Žuta
0.53	0.43	0.04	0.00	0.00	0.00	0.00	0.00	Narančasta
0.35	0.62	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.19	0.11	0.10	0.34	0.26	0.01	Indigo
0.42	0.53	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.50	0.48	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.25	0.11	0.20	0.30	0.11	Modra
0.37	0.59	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.14	0.01	0.18	0.15	0.52	Magenta
0.00	0.00	0.00	0.11	0.01	0.58	0.22	0.08	Indigo
0.40	0.60	0.00	0.00	0.00	0.00	0.00	0.00	Žuta
0.52	0.47	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.03	0.27	0.12	0.41	0.03	0.12	0.01	Tirkizna
0.00	0.00	0.01	0.26	0.07	0.19	0.28	0.20	Modra
0.00	0.03	0.31	0.11	0.36	0.05	0.14	0.01	Tirkizna
0.00	0.00	0.00	0.07	0.00	0.68	0.18	0.06	Indigo
0.00	0.04	0.25	0.11	0.46	0.02	0.10	0.01	Tirkizna
0.35	0.59	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.09	0.00	0.60	0.20	0.10	Indigo
0.00	0.00	0.03	0.29	0.21	0.07	0.23	0.16	Plava
0.00	0.00	0.00	0.17	0.01	0.14	0.16	0.53	Magenta
0.00	0.00	0.00	0.14	0.01	0.19	0.15	0.52	Magenta
0.14	0.63	0.14	0.00	0.09	0.00	0.00	0.00	Žuta
0.39	0.56	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.35	0.61	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.18	0.02	0.07	0.13	0.61	Magenta
0.00	0.00	0.03	0.27	0.14	0.13	0.28	0.14	Modra
0.09	0.22	0.56	0.01	0.11	0.01	0.01	0.00	Zelena
0.00	0.00	0.00	0.13	0.02	0.02	0.07	0.77	Magenta
0.00	0.00	0.00	0.16	0.02	0.42	0.26	0.13	Indigo
0.00	0.00	0.09	0.24	0.35	0.05	0.20	0.07	Tirkizna
0.00	0.00	0.00	0.25	0.07	0.05	0.16	0.47	Magenta
0.00	0.00	0.02	0.25	0.08	0.20	0.29	0.15	Modra
0.00	0.00	0.00	0.08	0.00	0.23	0.10	0.59	Magenta
0.00	0.00	0.02	0.16	0.04	0.42	0.30	0.06	Indigo
0.35	0.56	0.08	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.12	0.01	0.05	0.09	0.73	Magenta
0.56	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.18	0.03	0.40	0.29	0.08	Indigo
0.58	0.41	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.10	0.00	0.12	0.10	0.68	Magenta
0.00	0.00	0.02	0.24	0.07	0.24	0.30	0.13	Modra
0.00	0.03	0.23	0.12	0.46	0.02	0.11	0.01	Tirkizna
0.00	0.00	0.01	0.10	0.01	0.60	0.24	0.04	Indigo
0.00	0.00	0.38	0.06	0.09	0.29	0.18	0.00	Zelena
0.00	0.00	0.02	0.28	0.13	0.12	0.27	0.18	Plava
0.00	0.00	0.02	0.29	0.13	0.10	0.24	0.23	Plava
0.63	0.37	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.20	0.05	0.33	0.30	0.10	Indigo
0.00	0.00	0.00	0.17	0.01	0.16	0.17	0.48	Magenta
0.00	0.00	0.00	0.11	0.00	0.06	0.08	0.74	Magenta
0.38	0.53	0.08	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.06	0.00	0.01	0.03	0.90	Magenta
0.00	0.01	0.06	0.21	0.51	0.01	0.11	0.10	Tirkizna
0.00	0.02	0.29	0.13	0.33	0.06	0.16	0.01	Tirkizna
0.00	0.00	0.00	0.09	0.00	0.37	0.13	0.41	Magenta
0.00	0.01	0.28	0.13	0.24	0.12	0.21	0.01	Zelena
0.00	0.00	0.05	0.24	0.14	0.18	0.30	0.08	Modra
0.00	0.01	0.20	0.17	0.34	0.07	0.19	0.02	Tirkizna
0.00	0.00	0.00	0.10	0.01	0.61	0.21	0.07	Indigo
0.36	0.59	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.03	0.24	0.09	0.22	0.31	0.11	Modra
0.00	0.00	0.00	0.05	0.00	0.01	0.02	0.92	Magenta
0.00	0.01	0.05	0.23	0.46	0.01	0.12	0.12	Tirkizna
0.36	0.60	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.16	0.01	0.10	0.14	0.59	Magenta
0.03	0.12	0.57	0.02	0.20	0.02	0.04	0.00	Zelena
0.00	0.00	0.00	0.15	0.02	0.02	0.08	0.72	Magenta
0.55	0.43	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.10	0.12	0.07	0.43	0.28	0.01	Indigo
0.00	0.00	0.03	0.29	0.22	0.07	0.22	0.17	Plava
0.00	0.00	0.02	0.25	0.08	0.21	0.29	0.15	Modra
0.00	0.00	0.02	0.19	0.04	0.37	0.30	0.08	Indigo
0.00	0.00	0.04	0.27	0.17	0.13	0.28	0.11	Modra
0.00	0.00	0.03	0.28	0.28	0.03	0.17	0.20	Tirkizna
0.33	0.61	0.05	0.00	0.01	0.00	0.00	0.00	Žuta
0.38	0.46	0.14	0.00	0.02	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.13	0.01	0.53	0.25	0.07	Indigo
0.00	0.00	0.06	0.26	0.34	0.04	0.19	0.11	Tirkizna
0.53	0.45	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.10	0.36	0.39	0.01	0.14	0.00	0.01	0.00	Zelena
0.00	0.00	0.02	0.18	0.04	0.38	0.30	0.07	Indigo
0.00	0.02	0.18	0.15	0.46	0.03	0.13	0.02	Tirkizna
0.01	0.04	0.65	0.03	0.13	0.07	0.08	0.00	Zelena
0.55	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.36	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.16	0.03	0.44	0.29	0.07	Indigo
0.00	0.00	0.02	0.29	0.20	0.04	0.17	0.28	Plava
0.00	0.02	0.07	0.18	0.57	0.01	0.09	0.07	Tirkizna
0.07	0.23	0.52	0.01	0.14	0.01	0.02	0.00	Zelena
0.00	0.00	0.00	0.21	0.03	0.11	0.18	0.48	Magenta
0.00	0.00	0.00	0.22	0.03	0.14	0.20	0.41	Magenta
0.34	0.62	0.03	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.26	0.10	0.18	0.29	0.14	Modra
0.00	0.00	0.00	0.06	0.00	0.09	0.06	0.80	Magenta
0.00	0.00	0.06	0.25	0.37	0.04	0.18	0.10	Tirkizna
0.00	0.00	0.02	0.27	0.10	0.15	0.28	0.18	Modra
0.41	0.54	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.01	0.10	0.21	0.08	0.54	0.01	0.05	0.01	Tirkizna
0.00	0.00	0.02	0.14	0.03	0.48	0.28	0.05	Indigo
0.04	0.16	0.53	0.02	0.21	0.01	0.03	0.00	Zelena
0.00	0.00	0.04	0.25	0.41	0.02	0.13	0.16	Tirkizna
0.00	0.00	0.00	0.14	0.01	0.09	0.12	0.65	Magenta
0.59	0.39	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.16	0.01	0.10	0.13	0.60	Magenta
0.37	0.58	0.04	0.00	0.01	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.10	0.01	0.61	0.23	0.04	Indigo
0.00	0.01	0.09	0.23	0.41	0.03	0.16	0.07	Tirkizna
0.00	0.09	0.20	0.08	0.55	0.01	0.06	0.01	Tirkizna
0.00	0.00	0.02	0.24	0.06	0.25	0.30	0.14	Modra
0.55	0.43	0.02	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.12	0.01	0.55	0.23	0.09	Indigo
