Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.00	0.17	0.01	0.39	0.23	0.20	Indigo
0.00	0.00	0.19	0.14	0.36	0.10	0.20	0.01	Tirkizna
0.00	0.00	0.14	0.15	0.50	0.04	0.15	0.01	Tirkizna
0.00	0.00	0.02	0.30	0.33	0.05	0.20	0.11	Tirkizna
0.00	0.00	0.01	0.29	0.08	0.19	0.29	0.15	Modra
0.56	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.32	0.09	0.40	0.06	0.13	0.00	Tirkizna
0.00	0.01	0.22	0.12	0.45	0.05	0.15	0.00	Tirkizna
0.00	0.00	0.00	0.29	0.07	0.18	0.28	0.18	Plava
0.00	0.00	0.01	0.16	0.03	0.47	0.28	0.05	Indigo
0.00	0.00	0.00	0.20	0.03	0.39	0.29	0.08	Indigo
0.48	0.50	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.27	0.07	0.24	0.30	0.12	Modra
0.00	0.00	0.00	0.17	0.01	0.29	0.20	0.33	Magenta
0.00	0.00	0.01	0.31	0.14	0.12	0.27	0.14	Plava
0.00	0.00	0.00	0.13	0.00	0.11	0.10	0.66	Magenta
0.00	0.00	0.01	0.19	0.05	0.40	0.31	0.05	Indigo
0.00	0.00	0.00	0.03	0.00	0.02	0.02	0.94	Magenta
0.02	0.18	0.66	0.00	0.12	0.00	0.01	0.00	Zelena
0.33	0.64	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.33	0.62	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.02	0.21	0.60	0.00	0.14	0.00	0.01	0.00	Zelena
0.00	0.00	0.01	0.19	0.05	0.40	0.30	0.05	Indigo
0.42	0.52	0.06	0.00	0.00	0.00	0.00	0.00	Žuta
0.35	0.61	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.05	0.00	0.11	0.05	0.79	Magenta
0.00	0.00	0.01	0.29	0.09	0.17	0.28	0.16	Plava
0.00	0.00	0.00	0.23	0.03	0.32	0.28	0.14	Indigo
0.66	0.34	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.02	0.29	0.20	0.12	0.28	0.08	Plava
0.00	0.00	0.13	0.17	0.34	0.11	0.23	0.01	Tirkizna
0.00	0.00	0.12	0.14	0.17	0.28	0.28	0.01	Indigo
0.00	0.00	0.00	0.26	0.05	0.26	0.29	0.13	Modra
0.05	0.38	0.46	0.00	0.11	0.00	0.00	0.00	Zelena
0.00	0.00	0.00	0.21	0.03	0.36	0.29	0.10	Indigo
0.00	0.00	0.02	0.26	0.13	0.22	0.31	0.06	Modra
0.32	0.66	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.34	0.62	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.32	0.66	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.60	0.40	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.25	0.06	0.27	0.30	0.11	Modra
0.00	0.00	0.04	0.26	0.24	0.14	0.28	0.04	Modra
0.00	0.00	0.00	0.29	0.06	0.09	0.21	0.35	Magenta
0.34	0.63	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.21	0.04	0.36	0.30	0.08	Indigo
0.00	0.00	0.01	0.22	0.05	0.34	0.31	0.08	Indigo
0.00	0.01	0.20	0.11	0.54	0.03	0.11	0.00	Tirkizna
0.00	0.00	0.01	0.31	0.12	0.14	0.27	0.16	Plava
0.00	0.00	0.00	0.04	0.00	0.12	0.04	0.79	Magenta
0.00	0.00	0.01	0.17	0.03	0.46	0.28	0.05	Indigo
0.00	0.00	0.08	0.21	0.43	0.06	0.19	0.02	Tirkizna
0.32	0.64	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.55	0.45	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.57	0.42	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.33	0.64	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.30	0.09	0.25	0.16	0.19	0.00	Zelena
0.43	0.55	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.54	0.45	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.26	0.11	0.24	0.31	0.07	Modra
0.36	0.61	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.10	0.00	0.13	0.09	0.67	Magenta
0.00	0.00	0.00	0.17	0.01	0.44	0.25	0.13	Indigo
0.43	0.57	0.01	0.00	0.00	0.00	0.00	0.00	Žuta
0.56	0.44	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.29	0.09	0.45	0.04	0.12	0.00	Tirkizna
0.00	0.00	0.00	0.26	0.05	0.23	0.28	0.17	Modra
0.00	0.01	0.33	0.08	0.42	0.05	0.11	0.00	Tirkizna
0.00	0.00	0.00	0.14	0.01	0.49	0.23	0.12	Indigo
0.00	0.01	0.26	0.09	0.48	0.04	0.11	0.00	Tirkizna
0.33	0.63	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.15	0.01	0.44	0.22	0.19	Indigo
0.00	0.00	0.01	0.30	0.14	0.15	0.29	0.11	Plava
0.00	0.00	0.00	0.12	0.00	0.12	0.10	0.65	Magenta
0.00	0.00	0.00	0.10	0.00	0.13	0.09	0.68	Magenta
0.08	0.62	0.23	0.00	0.06	0.00	0.00	0.00	Žuta
0.39	0.59	0.02	0.00	0.00	0.00	0.00	0.00	Žuta
0.33	0.64	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.13	0.00	0.08	0.09	0.69	Magenta
0.00	0.00	0.01	0.28	0.11	0.20	0.30	0.10	Modra
0.10	0.43	0.42	0.00	0.05	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.08	0.00	0.03	0.05	0.84	Magenta
0.00	0.00	0.00	0.20	0.02	0.36	0.26	0.16	Indigo
0.00	0.00	0.05	0.25	0.30	0.11	0.26	0.04	Tirkizna
0.00	0.00	0.00	0.23	0.02	0.10	0.17	0.48	Magenta
0.00	0.00	0.01	0.27	0.07	0.24	0.30	0.12	Modra
0.00	0.00	0.00	0.04	0.00	0.08	0.04	0.84	Magenta
0.00	0.00	0.01	0.21	0.06	0.35	0.31	0.05	Indigo
0.33	0.62	0.05	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.07	0.00	0.05	0.05	0.83	Magenta
0.62	0.38	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.22	0.05	0.34	0.30	0.08	Indigo
0.65	0.35	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.00	0.05	0.00	0.07	0.04	0.84	Magenta
0.00	0.00	0.01	0.26	0.07	0.26	0.31	0.10	Modra
0.00	0.01	0.23	0.11	0.48	0.04	0.13	0.00	Tirkizna
0.00	0.00	0.01	0.17	0.03	0.45	0.29	0.05	Indigo
0.00	0.02	0.63	0.03	0.19	0.06	0.07	0.00	Zelena
0.00	0.00	0.01	0.29	0.09	0.19	0.29	0.13	Modra
0.00	0.00	0.00	0.29	0.08	0.17	0.27	0.18	Plava
0.72	0.28	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.01	0.24	0.05	0.31	0.31	0.09	Indigo
0.00	0.00	0.00	0.14	0.00	0.15	0.12	0.59	Magenta
0.00	0.00	0.00	0.05	0.00	0.05	0.04	0.86	Magenta
0.37	0.59	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.02	0.00	0.01	0.01	0.96	Magenta
0.00	0.00	0.03	0.28	0.33	0.06	0.22	0.07	Tirkizna
0.00	0.01	0.31	0.09	0.40	0.06	0.13	0.00	Tirkizna
0.00	0.00	0.00	0.07	0.00	0.16	0.07	0.70	Magenta
0.00	0.01	0.32	0.09	0.35	0.08	0.15	0.00	Tirkizna
0.00	0.00	0.03	0.25	0.15	0.22	0.31	0.05	Modra
0.00	0.00	0.18	0.14	0.39	0.09	0.19	0.01	Tirkizna
0.00	0.00	0.00	0.16	0.01	0.45	0.24	0.13	Indigo
0.34	0.62	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.26	0.09	0.25	0.31	0.07	Modra
0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.97	Magenta
0.00	0.00	0.02	0.30	0.28	0.07	0.23	0.09	Plava
0.35	0.62	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.11	0.00	0.10	0.09	0.70	Magenta
0.02	0.20	0.60	0.01	0.16	0.00	0.01	0.00	Zelena
0.00	0.00	0.00	0.10	0.00	0.04	0.06	0.79	Magenta
0.61	0.39	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.15	0.13	0.19	0.26	0.26	0.01	Modra
0.00	0.00	0.01	0.30	0.14	0.14	0.28	0.12	Plava
0.00	0.00	0.01	0.26	0.07	0.24	0.30	0.12	Modra
0.00	0.00	0.01	0.23	0.06	0.33	0.31	0.07	Indigo
0.00	0.00	0.02	0.27	0.14	0.19	0.30	0.07	Modra
0.00	0.00	0.01	0.32	0.15	0.10	0.26	0.16	Plava
0.30	0.66	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.39	0.55	0.05	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.00	0.19	0.02	0.42	0.28	0.09	Indigo
0.00	0.00	0.03	0.29	0.24	0.11	0.27	0.07	Plava
0.58	0.42	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.07	0.45	0.40	0.00	0.08	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.22	0.06	0.34	0.31	0.06	Indigo
0.00	0.00	0.17	0.14	0.46	0.06	0.16	0.01	Tirkizna
0.01	0.12	0.70	0.01	0.13	0.01	0.02	0.00	Zelena
0.62	0.38	0.00	0.00	0.00	0.00	0.00	0.00	Narančasta
0.35	0.62	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.21	0.05	0.37	0.30	0.07	Indigo
0.00	0.00	0.00	0.31	0.09	0.11	0.24	0.25	Plava
0.00	0.00	0.04	0.26	0.40	0.05	0.20	0.05	Tirkizna
0.06	0.38	0.47	0.00	0.08	0.00	0.00	0.00	Zelena
0.00	0.00	0.00	0.17	0.01	0.13	0.15	0.54	Magenta
0.00	0.00	0.00	0.19	0.01	0.16	0.17	0.46	Magenta
0.33	0.64	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.01	0.27	0.08	0.23	0.30	0.10	Modra
