Narančasta	Žuta	Zelena	Plava	Tirkizna	Indigo	Modra	Magenta	klasa
0.00	0.00	0.01	0.01	0.00	0.55	0.31	0.12	Indigo
0.00	0.01	0.17	0.01	0.47	0.12	0.16	0.06	Tirkizna
0.00	0.06	0.12	0.00	0.59	0.05	0.15	0.03	Tirkizna
0.00	0.01	0.10	0.01	0.25	0.05	0.52	0.07	Modra
0.00	0.00	0.04	0.53	0.04	0.09	0.18	0.12	Plava
0.85	0.14	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.02	0.22	0.00	0.54	0.09	0.09	0.04	Tirkizna
0.00	0.05	0.16	0.00	0.58	0.06	0.10	0.04	Tirkizna
0.00	0.00	0.04	0.52	0.03	0.09	0.18	0.14	Plava
0.00	0.00	0.01	0.03	0.01	0.52	0.41	0.03	Indigo
0.00	0.00	0.02	0.13	0.01	0.40	0.36	0.07	Indigo
0.25	0.54	0.22	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.04	0.50	0.03	0.13	0.19	0.11	Plava
0.00	0.00	0.03	0.01	0.00	0.44	0.24	0.29	Indigo
0.00	0.00	0.07	0.36	0.11	0.07	0.25	0.13	Plava
0.00	0.00	0.05	0.00	0.00	0.12	0.08	0.75	Magenta
0.00	0.00	0.02	0.14	0.02	0.39	0.37	0.05	Indigo
0.00	0.00	0.03	0.00	0.00	0.01	0.00	0.96	Magenta
0.00	0.01	0.85	0.00	0.10	0.03	0.00	0.01	Zelena
0.00	0.95	0.05	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.89	0.10	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.06	0.73	0.00	0.16	0.02	0.00	0.01	Zelena
0.00	0.00	0.02	0.13	0.02	0.40	0.38	0.05	Indigo
0.00	0.21	0.79	0.00	0.00	0.00	0.00	0.00	Zelena
0.00	0.91	0.08	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.02	0.00	0.00	0.30	0.02	0.65	Magenta
0.00	0.00	0.04	0.53	0.05	0.08	0.18	0.12	Plava
0.00	0.00	0.03	0.21	0.01	0.30	0.30	0.14	Indigo
0.81	0.11	0.08	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.01	0.08	0.28	0.19	0.09	0.26	0.11	Plava
0.00	0.01	0.14	0.03	0.44	0.12	0.19	0.06	Tirkizna
0.00	0.00	0.08	0.05	0.10	0.38	0.35	0.04	Indigo
0.00	0.00	0.03	0.46	0.03	0.16	0.21	0.12	Plava
0.00	0.44	0.45	0.00	0.10	0.01	0.00	0.00	Zelena
0.00	0.00	0.02	0.16	0.01	0.37	0.34	0.09	Indigo
0.00	0.00	0.05	0.47	0.08	0.13	0.20	0.08	Plava
0.00	0.96	0.04	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.91	0.09	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.95	0.05	0.00	0.00	0.00	0.00	0.00	Žuta
0.90	0.10	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.03	0.43	0.03	0.18	0.23	0.11	Plava
0.00	0.01	0.09	0.22	0.25	0.11	0.24	0.09	Tirkizna
0.00	0.00	0.08	0.31	0.04	0.06	0.26	0.25	Plava
0.00	0.93	0.07	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.03	0.22	0.02	0.33	0.33	0.08	Indigo
0.00	0.00	0.03	0.28	0.02	0.28	0.30	0.08	Modra
0.00	0.11	0.12	0.00	0.62	0.04	0.10	0.02	Tirkizna
0.00	0.00	0.06	0.44	0.07	0.07	0.22	0.13	Plava
0.00	0.00	0.01	0.00	0.00	0.41	0.02	0.55	Magenta
0.00	0.00	0.01	0.04	0.01	0.51	0.40	0.04	Indigo
0.00	0.04	0.11	0.01	0.51	0.06	0.22	0.05	Tirkizna
0.00	0.92	0.08	0.00	0.00	0.00	0.00	0.00	Žuta
0.15	0.82	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.79	0.16	0.05	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.95	0.05	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.20	0.01	0.20	0.31	0.24	0.04	Indigo
0.14	0.77	0.10	0.00	0.00	0.00	0.00	0.00	Žuta
0.82	0.16	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.00	0.04	0.49	0.06	0.13	0.20	0.08	Plava
0.01	0.92	0.07	0.00	0.00	0.00	0.00	0.00	Žuta
0.00	0.00	0.04	0.00	0.00	0.18	0.07	0.71	Magenta
0.00	0.00	0.01	0.01	0.00	0.56	0.35	0.07	Indigo
0.07	0.90	0.03	0.00	0.00	0.00	0.00	0.00	Žuta
0.85	0.13	0.01	0.00	0.00	0.00	0.00	0.00	Narančasta
0.00	0.06	0.19	0.00	0.59	0.06	0.08	0.03	Tirkizna
0.00	0.00	0.04	0.46	0.02	0.14	0.20	0.14	Plava
0.00	0.04	0.22	0.00	0.56	0.07	0.07	0.03	Tirkizna
0.00	0.00	0.01	0.00	0.00	0.64	0.32	0.04	Indigo
